pbIndex,pb1,pb2,
010248,0.41821513,-0.18070008,
010249,-0.06745100,-0.10543247,
010250,-0.39228466,-0.25826105,
010251,-1.14649796,0.03926719,
010252,0.43752521,-0.26884192,
010253,0.51766372,-0.02632857,
010254,-0.30198303,-0.14783549,
010255,0.01113960,-0.27652708,
010256,0.29594627,0.23759633,
010257,0.14898621,-0.37079412,
010258,-0.06295692,-0.30820635,
010259,0.13741238,-0.08013678,
010261,0.37244838,-0.14077082,
010262,0.30882898,-0.16089633,
010263,0.21521761,0.07658733,
010264,-0.32557908,-0.03859314,
010265,0.19103083,-0.09489200,
010266,0.12671396,0.04499107,
010267,0.13175789,-1.18754303,
010268,0.21368375,-0.25190690,
010269,-0.12897712,0.01830409,
010270,0.30594176,-0.09907685,
010271,0.22448730,-0.50412077,
010272,0.15628020,-0.07346365,
010273,0.40604040,0.00797362,
010274,0.37137666,0.24635085,
010275,-0.92318767,0.50996411,
010276,0.23706083,-0.31957853,
010277,0.06317189,-0.63601798,
010278,0.26143700,0.43178463,
010279,-0.52127421,0.15430149,
010280,-0.55633128,-0.40339613,
010281,-0.46651077,-0.40456367,
010282,-0.47271392,-0.52250856,
010283,-0.43659884,-0.48217323,
010284,-0.24961609,-0.11010856,
010285,-0.16715720,-0.34388933,
010286,0.10666030,-0.29023406,
010287,0.21829280,-0.72874737,
010288,-0.06410506,-0.70604831,
010289,0.08296000,-0.04114592,
010290,0.20270701,-0.14250672,
010291,0.41372797,-0.05763489,
010292,0.39157844,0.57803351,
010293,0.29098564,-0.39547870,
010294,-0.27749512,-0.84871423,
010295,0.19929978,-0.24818376,
010296,-0.22803257,-0.53447515,
010297,0.05231885,0.12087135,
010298,-0.13893184,-0.54664803,
010299,0.27885127,-0.27545840,
010300,0.33157983,-0.17901951,
010301,0.06208116,-0.14311475,
010303,0.07250673,-0.23097332,
010304,0.24554721,-0.11926153,
010305,-0.13582008,-0.61400414,
010306,-0.02605851,-0.56266576,
010307,0.28017515,-0.20593393,
010308,0.95238793,0.05031708,
010309,0.24191356,0.03365783,
010310,0.09561139,0.05631272,
010311,-0.06166140,0.13665974,
010312,0.10327596,-0.18248731,
010313,0.48852429,-0.50847703,
010314,0.18414958,-0.93305939,
010315,-0.18638551,-0.24688613,
010316,-0.71975368,-0.00567510,
010317,-0.68672293,0.14785838,
010318,0.31474969,-1.23526061,
010319,0.14171872,-0.83373046,
010320,0.01759200,-0.52841693,
010321,-0.43588206,0.06920537,
010322,0.09966078,-0.28399494,
010323,-0.06210634,-0.05899326,
010324,0.12026209,-0.62859035,
010325,0.48238999,-0.15891108,
010326,0.13545860,-0.32987955,
010327,0.32053500,0.01409822,
010328,0.05414673,0.04594956,
010329,-0.08392316,0.04637707,
010330,0.30292109,-0.55646867,
010331,0.28945029,-0.05823153,
